%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Timestamp (Formatted)
84.0, -207.6373748779297, -182.23036193847656, -1311.5455322265625, 6120.06396484375, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560123932493E9, 2020-10-11 17:40:12.393
85.0, 2.0700347423553467, 5.729526519775391, -1170.3194580078125, 6038.0966796875, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124066324E9, 2020-10-11 17:40:12.406
85.0, -67.43600463867188, -64.65538787841797, -1281.3570556640625, 6154.70263671875, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124066324E9, 2020-10-11 17:40:12.406
86.0, -127.45391845703125, -123.40547943115234, -1323.0943603515625, 5914.31884765625, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012422802E9, 2020-10-11 17:40:12.422
86.0, 64.5450668334961, 64.38237762451172, -1161.19775390625, 5757.5234375, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012422802E9, 2020-10-11 17:40:12.422
87.0, 153.5958251953125, 170.06820678710938, -1150.2510986328125, 5923.14111328125, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.60245601242348E9, 2020-10-11 17:40:12.423
87.0, 10.275375366210938, 25.625795364379883, -1305.7935791015625, 6103.88330078125, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.60245601242348E9, 2020-10-11 17:40:12.423
88.0, 134.45127868652344, 148.3693084716797, -1224.248779296875, 6029.029296875, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124366589E9, 2020-10-11 17:40:12.436
88.0, 262.5765075683594, 292.5536804199219, -1139.6484375, 6226.580078125, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124366589E9, 2020-10-11 17:40:12.436
89.0, 143.45321655273438, 130.39535522460938, -1317.13671875, 6080.93896484375, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124527044E9, 2020-10-11 17:40:12.452
89.0, 181.28604125976562, 165.65887451171875, -1305.9805908203125, 6310.87353515625, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124527044E9, 2020-10-11 17:40:12.452
90.0, 418.1825256347656, 403.1275634765625, -1123.7127685546875, 6259.02734375, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124530697E9, 2020-10-11 17:40:12.453
90.0, 338.20477294921875, 319.4061584472656, -1214.341796875, 6374.3173828125, 0.0, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124530697E9, 2020-10-11 17:40:12.453
91.0, 250.45175170898438, 236.06996154785156, -1321.695556640625, 6595.337890625, 0.0, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124835608E9, 2020-10-11 17:40:12.483
91.0, 468.9179992675781, 445.9568786621094, -1149.8995361328125, 6445.85791015625, 0.0, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124835608E9, 2020-10-11 17:40:12.483
92.0, 522.263916015625, 508.5067138671875, -1091.7889404296875, 6605.48779296875, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124841752E9, 2020-10-11 17:40:12.484
92.0, 332.94647216796875, 299.551025390625, -1322.04345703125, 6742.21875, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560124841752E9, 2020-10-11 17:40:12.484
93.0, 460.99688720703125, 439.0567626953125, -1185.2752685546875, 6686.6923828125, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012484906E9, 2020-10-11 17:40:12.484
93.0, 605.5590209960938, 585.0549926757812, -1049.7337646484375, 6892.43359375, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012484906E9, 2020-10-11 17:40:12.484
94.0, 460.28631591796875, 422.0888366699219, -1220.56494140625, 6742.13623046875, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012496622E9, 2020-10-11 17:40:12.496
94.0, 498.5080871582031, 456.3800048828125, -1193.9256591796875, 6976.255859375, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012496622E9, 2020-10-11 17:40:12.496
95.0, 694.2656860351562, 654.6171264648438, -1024.1192626953125, 6902.9130859375, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125123792E9, 2020-10-11 17:40:12.512
95.0, 608.16943359375, 582.4931640625, -1105.05810546875, 7022.02880859375, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125123792E9, 2020-10-11 17:40:12.512
96.0, 525.009033203125, 483.8158874511719, -1198.83984375, 7236.78125, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125130813E9, 2020-10-11 17:40:12.513
96.0, 708.795166015625, 670.8782348632812, -1040.0137939453125, 7081.0478515625, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125130813E9, 2020-10-11 17:40:12.513
97.0, 762.7843627929688, 708.1799926757812, -1038.222412109375, 7215.87890625, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125268705E9, 2020-10-11 17:40:12.526
97.0, 672.690185546875, 583.1962890625, -1145.8380126953125, 7434.5283203125, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125268705E9, 2020-10-11 17:40:12.526
98.0, 798.2984619140625, 723.1058959960938, -1014.3095092773438, 7373.78857421875, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012542416E9, 2020-10-11 17:40:12.542
98.0, 927.2726440429688, 871.7220458984375, -888.2711181640625, 7579.1669921875, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012542416E9, 2020-10-11 17:40:12.542
99.0, 751.388916015625, 706.6353759765625, -1060.759033203125, 7421.34130859375, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012543072E9, 2020-10-11 17:40:12.543
99.0, 746.4298095703125, 705.3974609375, -1074.80615234375, 7623.1748046875, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012543072E9, 2020-10-11 17:40:12.543
100.0, 917.7172241210938, 901.8020629882812, -908.8704833984375, 7543.39892578125, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125574107E9, 2020-10-11 17:40:12.557
100.0, 868.915283203125, 844.8433837890625, -953.7567749023438, 7685.27197265625, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125574107E9, 2020-10-11 17:40:12.557
0.0, 757.3073120117188, 743.8604736328125, -1043.6097412109375, 538.3473510742188, -0.01600000075995922, 0.01600000075995922, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012558512E9, 2020-10-11 17:40:12.558
1.0, 969.8046875, 957.4910278320312, -873.5751953125, 398.27691650390625, -0.01600000075995922, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125715709E9, 2020-10-11 17:40:12.571
1.0, 996.5262451171875, 1011.0015258789062, -845.3800659179688, 539.7610473632812, -0.01600000075995922, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125715709E9, 2020-10-11 17:40:12.571
2.0, 800.2263793945312, 834.4707641601562, -1051.2279052734375, 683.5191040039062, -0.01600000075995922, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125873125E9, 2020-10-11 17:40:12.587
2.0, 925.1278076171875, 952.9470825195312, -937.4451904296875, 618.3438110351562, -0.01600000075995922, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6024560125873125E9, 2020-10-11 17:40:12.587
3.0, 1079.7576904296875, 1106.413818359375, -780.7134399414062, 841.2923583984375, -0.01600000075995922, 0.03200000151991844, 1.0080000162124634, 0.0, 0.0, 0.0, 0.0, 0.0, 1.602456012602444E9, 2020-10-11 17:40:12.602
